code,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr,pubDate,statDate
sh.600121,0.38003000000000003,0.61997,0.086728,3.6767559999999997,0.094462,0.924242,0.094462,2023-04-29,2023-03-31
sh.600123,0.30347399999999997,0.696526,0.33467399999999997,27.212769,0.341976,1.323418,0.341976,2023-04-25,2023-03-31
sh.600125,0.494787,0.505213,0.677633,140.329948,-0.075179,-1.453238,-0.075179,2023-04-29,2023-03-31
sh.600126,0.569221,0.430779,0.544416,,-0.023216,-8.979165,-0.023216,2023-04-29,2023-03-31
sh.600127,0.626896,0.373104,0.284306,3.8287940000000003,-0.041402999999999995,-4.797809,-0.041402999999999995,2023-04-29,2023-03-31
sh.600128,0.529034,0.470966,0.370648,1.94071,-0.06653200000000001,-4.07421,-0.06653200000000001,2023-04-29,2023-03-31
sh.600129,0.544508,0.455492,0.129672,11.045579,-0.03785,-0.708252,-0.03785,2023-04-28,2023-03-31
sh.600130,0.7817729999999999,0.218227,0.8322450000000001,,0.362427,5.460392,0.362427,2023-04-29,2023-03-31
sh.600131,0.788946,0.211054,0.387735,,-0.464163,-8.514117,-0.464163,2023-04-27,2023-03-31
sh.600132,0.470846,0.529154,0.025638,,0.21284299999999998,1.100482,0.21284299999999998,2023-04-28,2023-03-31
sh.600133,0.701975,0.298025,0.139295,2.8132080000000004,-0.326042,-11.213702,-0.326042,2023-04-29,2023-03-31
sh.600135,0.704133,0.295867,0.738585,53.500365,-0.069711,-21.815913000000002,-0.069711,2023-04-26,2023-03-31
sh.600136,0.643417,0.356583,-2.203766,-1.283044,-0.47529,,-0.47529,2023-04-27,2023-03-31
sh.600137,0.777638,0.22236199999999998,0.7494890000000001,,-0.345907,-7.539439,-0.345907,2023-04-29,2023-03-31
sh.600138,0.340154,0.659846,0.236285,1.064224,-0.034069,,-0.034069,2023-04-29,2023-03-31
sh.600141,0.22643600000000003,0.773564,0.400428,8.229613,-0.075557,-1.062044,-0.075557,2023-04-29,2023-03-31
sh.600143,0.375449,0.624551,0.21417399999999998,2.640588,0.025553,0.84519,0.025553,2023-04-25,2023-03-31
sh.600148,0.793918,0.20608200000000002,0.358668,-2.588543,0.016964,,0.016964,2023-04-27,2023-03-31
sh.600149,0.253108,0.746892,0.111696,-2.161556,-0.394898,,-0.394898,2023-04-29,2023-03-31
sh.600150,0.736788,0.263212,0.244774,,-0.332086,-70.882026,-0.332086,2023-04-28,2023-03-31
sh.600151,0.490363,0.509637,0.396503,-6.184615,-0.18288900000000002,,-0.18288900000000002,2023-04-29,2023-03-31
sh.600152,0.5190319999999999,0.480968,0.529428,-5.106493,0.373214,,0.373214,2023-04-28,2023-03-31
sh.600153,0.9093190000000001,0.090681,0.055696,4.078232,-0.071979,-13.709675,-0.071979,2023-04-29,2023-03-31
sh.600155,,,0.287527,,-0.355298,-1.9456220000000002,-0.355298,2023-04-28,2023-03-31
sh.600156,0.485048,0.5149520000000001,0.322835,3.094789,-0.078139,-1.224061,-0.078139,2023-04-28,2023-03-31
sh.600157,0.087512,0.912488,-0.114684,2.3354630000000003,0.154695,2.741199,0.154695,2023-04-28,2023-03-31
sh.600158,0.806864,0.193136,0.310675,,-1.254653,,-1.254653,2023-04-25,2023-03-31
sh.600159,0.907884,0.092116,0.5635859999999999,,-3.666946,-34.987873,-3.666946,2023-04-29,2023-03-31
sh.600160,0.33234600000000003,0.667654,0.6447039999999999,30.023265999999996,0.056112,1.793866,0.056112,2023-04-28,2023-03-31
sh.600161,0.5643699999999999,0.43563,0.5748409999999999,,0.48042299999999993,1.729041,0.48042299999999993,2023-04-25,2023-03-31
sh.600162,0.729576,0.270424,0.26605100000000004,2.194538,0.24917199999999998,4.241156,0.24917199999999998,2023-04-28,2023-03-31
sh.600163,0.33552,0.6644800000000001,0.486687,13.380991,0.48711099999999996,0.924047,0.48711099999999996,2023-04-28,2023-03-31
sh.600165,0.064976,0.935024,0.150213,-1.514967,-0.928931,,-0.928931,2023-04-29,2023-03-31
sh.600166,0.518324,0.48167600000000005,0.126096,26.441646000000002,0.073077,3.6830160000000003,0.073077,2023-04-29,2023-03-31
sh.600167,0.5670609999999999,0.432939,0.6179859999999999,,-0.194009,-0.44397200000000003,-0.194009,2023-04-29,2023-03-31
sh.600168,0.324988,0.675013,0.144581,0.776471,-0.15428699999999998,,-0.15428699999999998,2023-04-29,2023-03-31
sh.600169,0.722634,0.277366,0.10056,1.237897,0.040943,2.042214,0.040943,2023-04-27,2023-03-31
sh.600170,0.738167,0.261833,0.100254,1.7773130000000001,-0.346615,-88.51229599999999,-0.346615,2023-04-29,2023-03-31
sh.600171,0.557269,0.44273100000000004,0.689883,,-0.24923800000000002,-2.996238,-0.24923800000000002,2023-04-22,2023-03-31
sh.600172,0.327418,0.672582,0.286354,0.776101,0.12468599999999999,,0.12468599999999999,2023-04-29,2023-03-31
sh.600173,0.844583,0.155417,0.560878,,-0.024658000000000003,-0.611358,-0.024658000000000003,2023-04-19,2023-03-31
sh.600176,0.27715500000000004,0.722845,0.517828,14.571724,-0.30276,-1.169931,-0.30276,2023-04-21,2023-03-31
sh.600177,0.423354,0.576646,0.483754,8.208847,-0.218493,-0.7695489999999999,-0.218493,2023-04-29,2023-03-31
sh.600178,0.630618,0.36938200000000004,0.207071,,0.041458999999999996,31.4384,0.041458999999999996,2023-04-29,2023-03-31
sh.600179,0.498875,0.501125,0.714255,10.974892,0.059359,1.212625,0.059359,2023-04-29,2023-03-31
sh.600180,0.547628,0.45237200000000005,0.23471799999999998,5.253332,0.18651199999999998,9.872104,0.18651199999999998,2023-04-27,2023-03-31
sh.600182,0.718367,0.28163299999999997,0.280132,11.028932000000001,0.117272,2.073501,0.117272,2023-04-29,2023-03-31
sh.600183,0.5583359999999999,0.44166400000000006,0.533576,8.878569,0.174544,2.702165,0.174544,2023-04-29,2023-03-31
sh.600184,0.6492399999999999,0.35076,0.542828,,-0.8085289999999999,-39.429509,-0.8085289999999999,2023-04-21,2023-03-31
sh.600185,0.80797,0.19203,0.179726,1.1693559999999998,3.513789,377.13304300000004,3.513789,2023-04-29,2023-03-31
sh.600186,0.707792,0.29220799999999997,0.416656,,0.047356,0.979426,0.047356,2023-04-29,2023-03-31
sh.600187,0.36416,0.63584,0.5246529999999999,-15.549448000000002,0.244152,,0.244152,2023-04-29,2023-03-31
sh.600188,0.318358,0.681642,0.126887,15.825792000000002,0.194081,1.242129,0.194081,2023-04-29,2023-03-31
