code,date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
sh.600662,2023-07-05,5.73,23.537826000000006,3.195479,0.829362,6.74511
sh.600662,2023-07-06,5.72,23.496748,3.189902,0.8279139999999999,6.733338000000002
sh.600662,2023-07-07,5.74,23.578905,3.2010560000000003,0.830809,6.756881
sh.600662,2023-07-10,5.76,23.661061,3.212209,0.8337040000000001,6.780424000000001
sh.600662,2023-07-11,5.78,23.743218,3.223363,0.836599,6.8039679999999985
sh.600662,2023-07-12,5.72,23.496748,3.189902,0.8279139999999999,6.733338000000002
sh.600662,2023-07-13,5.77,23.702139000000006,3.2177860000000003,0.835151,6.7921960000000015
sh.600662,2023-07-14,5.8,23.825374,3.234516,0.839493,6.827511
sh.600662,2023-07-17,5.81,23.866452,3.240093,0.8409409999999999,6.839282000000001
sh.600662,2023-07-18,5.79,23.784296,3.228939,0.838046,6.815739
sh.600662,2023-07-19,5.86,24.071843,3.267977,0.8481780000000001,6.89814
sh.600662,2023-07-20,5.85,24.030765,3.2624,0.84673,6.886369
sh.600662,2023-07-21,5.87,24.112922,3.273553,0.849625,6.9099119999999985
sh.600664,2023-07-05,3.27,16.978045,1.852799,0.572995,8.759306
sh.600664,2023-07-06,3.21,16.666521,1.818803,0.562481,8.598585
sh.600664,2023-07-07,3.2,16.6146,1.813137,0.560729,8.571798
sh.600664,2023-07-10,3.19,16.56268,1.807471,0.5589770000000001,8.545011
sh.600664,2023-07-11,3.21,16.666521,1.818803,0.562481,8.598585
sh.600664,2023-07-12,3.18,16.510759,1.801805,0.557225,8.518224
sh.600664,2023-07-13,3.21,16.666521,1.818803,0.562481,8.598585
sh.600664,2023-07-14,3.18,16.510759,1.801805,0.557225,8.518224
sh.600664,2023-07-17,3.21,16.666521,1.818803,0.562481,8.598585
sh.600664,2023-07-18,3.22,16.718442,1.824469,0.564234,8.625372
sh.600664,2023-07-19,3.24,16.822283,1.835801,0.567738,8.678946
sh.600664,2023-07-20,3.22,16.718442,1.824469,0.564234,8.625372
