code,year,quarter,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600039,2019,4.0,2020-04-30,2019-12-31,0.1150119999999999,0.032197,0.10971800000000001,1697575703.98,0.471362,52566654729.47,3610525510.0,3457072825.0
sh.600039,2020,4.0,2021-04-20,2020-12-31,0.158343,0.049869,0.1479589999999999,3045472105.98,0.633213,60970638195.26,4777570289.0,3610525510.0
sh.600039,2021,4.0,2022-03-30,2021-12-31,0.22434400000000002,0.066952,0.161441,5694198464.88,1.168914,84723311167.92,4775430289.0,3647547110.0
sh.600039,2022,4.0,2023-03-31,2022-12-31,0.325278,0.084097,0.170539,11365834607.23,1.8008830000000002,134832251763.87,6226336775.0,4742356089.0
sh.600048,2019,4.0,2020-04-16,2019-12-31,0.201184,0.159172,0.349607,37553966244.68,2.343064,235037758091.4,11932675162.0,11932675162.0
sh.600048,2020,4.0,2021-04-20,2020-12-31,0.172182,0.164743,0.3255679999999999,40048207579.36,2.4188970000000003,241807918071.51,11967615691.0,11967615691.0
sh.600048,2021,4.0,2022-04-19,2021-12-31,0.145761,0.13052,0.26779000000000003,37189475817.22,2.288019,283856020349.35,11970107583.0,11970107583.0
sh.600048,2022,4.0,2023-03-31,2022-12-31,0.093648,0.09611900000000001,0.21987600000000002,27011095332.08,1.532677,280080185144.85,11970443418.0,11970443418.0
sh.600050,2019,4.0,2020-03-24,2019-12-31,0.03515,0.038773,0.262918,11264124299.0,0.16058,290514554553.0,31025507687.0,21196596395.0
sh.600050,2020,4.0,2021-03-12,2020-12-31,0.037942000000000004,0.041222,0.260991,12524922876.0,0.178017,303838000000.0,31015595487.0,30537265087.0
sh.600050,2021,4.0,2022-03-12,2021-12-31,0.042472,0.0439709999999999,0.245517,14416186638.0,0.203459,327854000000.0,30991393212.0,30755644212.0
sh.600050,2022,4.0,2023-03-09,2022-12-31,0.048088,0.046912,0.24246900000000002,16651299177.0,0.229512,354944000000.0,31804436237.0,30962411937.0
